learned	on'yomi	kun'yomi	meaning	ref_sh_kk
19	NIN, JIN	hito	person	1
1	ICHI, ITSU	hito(tsu)	one (1)	2
2	NI	futa(tsu)	two (2)	3
3	SAN	mi(t)(tsu)	three (3)	4
21	NICHI, JITSU	ka, hi	day, sun	5
4	SHI	yo(n), yo(t)(tsu)	four (4)	6
5	GO	itsu(tsu)	five (5)	7
6	ROKU	mu(t)(tsu)	six (6)	8
7	SHICHI	nana(tsu)	seven (7)	9
8	HACHI	ya(t)(tsu)	eight (8)	10
9	KYUU, KU	kokono(ka)	nine (9)	11
10	JUU	to(o)	ten (10)	12
70	EN	maru(i)	round, yen	13
11	HYAKU	momo	hundred (100)	14
12	SEN	chi	thousand (1,000)	15
13	MAN, BAN	yoro(zu)	ten thousand (10,000)	16
22	GETSU, GATSU	tsuki	moon, month	17
84	MEI, MYOU	aka(rui), a(keru)	light, bright, clear	18
242	YOU		day of the week	19
23	KA	hi, ho	fire, light	20
24	SUI	mizu	water	21
25	MOKU, BOKU	ki	tree, wood	22
26	KIN, KON	kane, kana	money, gold	23
27	TO, DO	tsuchi	ground, earth, soil	24
28	HON	moto	book	25
54	DAI, TAI	oo(kii)	big	26
52	SHOU	chii(sai), ko, o	small	27
53	CHUU	naka	middle, center, within, inside, in	28
144	FUU, FU	kaze	wind, style	29
65	U	ame, ama	rain	30
42	KA, GE	shita, shimo, moto	bottom, down, under, lower	31
41	JOU, SHOU	kami, ue, a(geru), a(garu), no(boru)	up, above, top, on	32
62	SEN	kawa	river	33
61	SAN	yama	mountain	34
211	DEN	ta	rice field	35
943		hata, hatake	field, farm	36
1020	TOU	katana	sword, knife	37
57	BU, FUN, BUN	wa(karu), wa(keru), wa(kareru)	divide, minute, part, understand	38
161	SETSU	ki(ru), ki(reru)	cut	39
69	KOKU	kuni	country	40
744	JI	tera	temple	41
35	JI	toki	time, hour	42
36	KAN, KEN	aida, ma	interval, between	43
60	SEI, SHOU	i(kiru), u(mareru), nama	life, live, birth	44
31	NEN	toshi	year	45
102	I		with, from	46
33	ZEN	mae	before, in front of, previous	47
34	GO, KOU	ato, nochi, ushi(ro), oku(reru)	after, behind	48
32	GO	uma	noon	49
38	SEN	saki	previous, ahead	50
39	KON, KIN	ima	this, now, the present	51
80	NYUU	i(ru), i(reru), hai(ru)	enter, put in	52
79	SHUTSU, SUI	da(su), de(ru)	leave, put out	53
164	KOU, KU	kuchi	mouth	54
239	MOKU	me	eye	55
246	JI	mimi	ear	56
195	SHU	te	hand	57
91	SOKU	ashi	foot, leg, suffice	58
824	SHIN	mi	body, self	59
29	KYUU	yasu(mu)	rest, vacation	60
149	TAI, TEI	karada	body, form	61
182	JI, SHI	mizuka(ra)	self	62
77	KEN	mi(ru), mi(eru), mi(seru)	see, show	63
72	BUN, MON	ki(ku), ki(koeru)	hear, listen, ask	64
534	SHU	to(ru)	take	65
103	GEN, GON	i(u), koto	word, say, speech	66
30	GO	kata(ru), kata(rau)	word, language, tell	67
78	KOU, GYOU	i(ku), yu(ku)	go	68
75	RAI	ku(ru), kita(ru), kita(su)	come	69
146	HOU	kata	person, way, direction	70
45	TOU	higashi	east	71
46	SAI, SEI	nishi	west	72
48	HOKU	kita	north	73
47	NAN	minami	south	74
43	SA	hidari	left	75
44	U, YUU	migi	right	76
295	TOU	a(teru), a(taru)	hit, win, allot	77
335	SEKI, SHAKU	ishi	stone	78
235	BUTSU, MOTSU	mono	thing, object	79
176	JI	koto	thing, matter, affair	80
207	SEKI	yuu	evening	81
50	MEI, MYOU	na	name, fame, famous	82
49	GAI, GE	soto, hoka	outside, foreign	83
364	NAI, DAI	uchi	inside	84
184	SHI	shi(nu)	die, death	85
552	BU		part, section	86
939	BAI		times, double	87
56	HAN	naka(ba)	half	88
724	ZEN	matta(ku), sube(te)	all, entire, whole	89
250	KAI, E	mawa(ru), mawa(su)	a time, turn, revolve	90
766	SHUU	mawa(ri)	lap, circumference, surroundings	91
196	SHUU		week	92
921	MU, BU	na(i)	without, nothing	93
233	FU, BU		not, un-	94
55	CHOU	naga(i)	chief, long	95
230	HATSU, HOTSU		start, leave, emit	96
173	SHIN	kokoro	heart, mind	97
798	SEI, SHOU		nature, sex	98
134	SHI	omo(u)	think	99
218	RYOKU, RIKI	chikara	strength, force, power	100
18	NAN, DAN	otoko	man, male	101
17	JO, NYO	onna, me	woman, female	102
20	SHI, SU	ko	child	103
257	KOU	su(ku), kono(mu)	like, favorable	104
99	AN	yasu(i)	peaceful, cheap	105
1029	AN		idea, plan, proposal	106
240	YOU	mochi(iru)	use, business, service	107
66	DEN		electricity	108
58	GAKU	mana(bu)	learn	109
90	JI	aza	letter, character, mark	110
236	BUN, MON	fumi	sentence, letter	111
15	BO, MU, KAA	haha	mother	112
14	FU, HO, TOU	chichi	father	113
448	KOU	ma(jiru), maji(waru), ka(u)	exchange, mix, associate	114
59	KOU		school	115
37	MAI, BAI	goto(ni)	each, every	116
119	KAI	umi	sea, ocean	117
188	CHI, JI		ground, land	118
275	CHI	ike	pond	119
1012	TA	hoka	other, another	120
216	RITSU	ta(tsu), ta(teru)	stand, raise	121
320	I	kurai	rank, position	122
548	HOU, HAtsu		law	123
393	WA, O	yawa(ragu), nago(mu)	peace, harmony, Japanese	124
187	SHI	watashi, watakushi	private, I	125
517	KOU	ooyake	public, official	126
948	RIN	hayashi	woods, grove	127
267	SHIN	mori	woods, forest	128
873	CHIKU	take	bamboo	129
956	HITSU	fude	brush, writing	130
76	SHO	ka(ku)	write, book	131
101	I		mind, heart, attention	132
68	SHA	kuruma	car, vehicle	133
787	SEI, SHOU		spirit, soul, energy	134
1017	KI		steam	135
636	GEN	hara	original, plain, field	136
153	GEN, GAN	moto	beginning, origin	137
256	KOU	hikari, hika(ru)	light, shine	138
165	KOU, KU		construction, craft	139
86	KUU	sora, kara, a(ku), a(keru)	sky, air, empty	140
64	TEN	ama, ame	heaven, sky	141
1021	RI	sato	village, parents' house	142
244	RI		reason, principle, logic	143
201	SHOU	suku(nai), suko(shi)	little, few	144
450	SEI, SHOU	kaeri(miru), habu(ku)	ministry, omit	145
282	SOU, SHOU	ai	aspect, phase, each other	146
846	SOU, SO		idea, thought	147
263	SHU	kubi	neck, head	148
225	DOU, TOU	michi	way, street, path	149
148	TSUU	too(ru), too(su), kayo(u)	pass, communicate	150
743	RO	ji	road, street	151
639	KO	to	door	152
265	SHO	tokoro	place, area	153
202	JOU	ba	place	154
133	SHU	omo, nushi	main, master	155
198	JUU	su(mu), su(mau)	live, dwell, reside	156
814	SHIN		believe, trust, faith	157
81	KAI, E	a(u)	meet	158
258	GOU, GAtsu, KAtsu	a(u)	fit, match	159
175	TOU	kota(e), kota(eru)	answer, solution	160
280	MON	kado	gate	161
223	MON	to(u), to(i), ton	question, problem	162
110	IN		member, official	163
194	SHA	mono	person	164
105	KA, KE	ie, ya	house, family	165
191	SHITSU	muro	room	166
128	OKU	ya	roof, house, shop	167
222	TEN	mise	store, shop	168
604	TEN		point, dot	169
551	KYOKU		bureau, office	170
348	KYO	i(ru)	live, exist, be	171
171	KO	furu(i), furu(su)	old, ancient	172
1064	KO	yue	reason, cause, circumstances	173
93	SHIN	ara(ta), atara(shii), ni(i)	new, fresh	174
135	SHIN	oya, shita(shii)	parent, familiar	175
190	SHITSU, SHICHI		quality, nature	176
279	MIN	tami	people, nation	177
871	TAKU		home, residence	178
547	SHUKU	yado, yado(ru), yado(su)	lodging, inn, shelter	179
147	SHI	kami	paper	180
261	SHI	ichi	city, market	181
220	CHOU	machi	town	182
253	KU		district, ward	183
1028	CHOU, TEI		even number, (quantifier)	184
429	BAN		number, order, watch	185
1030	GAI, KAI	machi	town, street	186
770	JUTSU		art, technique, means	187
277	TSU, TO	miyako	capital, city	188
158	KYOU, KEI		capital	189
51	KOU	taka(i)	tall, high, costly, expensive	190
272	SON	mura	village	191
690	FU	tsu(ku), tsu(keru)	attach, append	192
1033	GUN		county, district	193
255	KEN		prefecture	194
765	SHUU	su	state, province, sandbank	195
585	KYOU	tomo	together, both	196
558	KYOU, KU	tomo, sona(eru)	attendant, offer	197
132	DOU	ona(ji)	same	198
595	KOU	mu(ku), mu(keru), mu(kau), mu(kou)	face, turn, opposite	199
557	RYOU		both	200
984	MAN	mi(chiru), mi(tasu)	full	201
868	HEI, BYOU	tai(ra), hira	flat, level	202
760	JITSU	mi, mino(ru)	true, real, fruit, nut	203
108	SHOKU, SHIKI	iro	color	204
63	HAKU, BYAKU	shiro(i)	white	205
166	KOKU	kuro(i)	black	206
83	SEKI	aka(i)	red	207
82	SEI, SHOU	ao(i)	blue	208
808	JOU, SEI	nasa(ke)	emotion, circumstances	209
793	TEKI	mato	target, mark, object	210
513	YAKU		approximately, promise	211
1018	KYUU	yumi	bow	212
1019	SHI	ya	arrow	213
203	CHI	shi(ru)	know	214
274	TAN	mijika(i)	short	215
248	IN	hi(ku), hi(keru)	pull, draw	216
159	KYOU, GOU	tsuyo(i), tsuyo(maru), tsuyo(meru), shi(iru)	strong	217
262	JAKU	yowa(i), yowa(ru), yowa(maru), yowa(meru)	weak	218
917	DOKU	hito(ri)	alone, Germany	219
677	BEI, MAI	kome	rice, America	224
465	SUU, SU	kazu, kazo(eru)	number, count	225
783	RUI		kind, sort, variety	226
764	SHU	tane	kind, type, seed	228
689	DOU	hatara(ku)	work, labor	232
1008	ROU		labor, toil	233
586	KYOU		cooperate	234
891	MU	tsuto(meru)	duties	235
229	YA	no	field, plain	236
476	KATSU		life, activity	237
439		kai	shellfish	240
342	SHI	ito	thread	242
811	ZOKU	tsutzu(ku), tsutzu(keru)	continue	243
332	IKU	soda(tsu), soda(teru)	grow, raise, educate	246
752	RYUU, RU	naga(reru), naga(su)	flow, current	247
612	SOU	kusa	grass	249
518	YOU	ha	leaf, foliage	253
428	KA, KE	ba(keru), ba(kasu)	change, bewitch	254
451	HEN	ka(waru), ka(eru)	change, strange	257
645	REN	koi, koi(shii)	love, yearn	258
283	AI		love	259
359	JU	u(keru), u(karu)	receive	260
778	SEI, JOU	na(ru), na(su)	become, grow, consist	261
264	SHO	atsu(i)	hot	262
491	KAN		feeling, sensation	262
699	SAI	motto(mo)	most, extreme	263
553	GOU		number, title	266
316	ZAI	a(ru)	outskirts, country, exist	268
866	SON, ZON		exist, know	269
940	BAKU	mugi	wheat, barley	270
1079	SO, SU		element, naked	271
313	HYOU	omote, arawa(su), arawa(reru)	surface, chart, express	272
372	RI	ura	reverse side, back	273
422	MEN	omo, omote, tsura	face, mask, surface	274
293	TOU, TO, ZU	atama, kashira	head, leader, top	276
271	SEN	ara(u)	wash	277
369	BA	uma, ma	horse	283
247	AN	kura(i)	dark, dim	284
761	TOU	shima	island	286
623	MOU	ke	hair, fur, down	287
532	GI		consult, discuss	292
1010	RON		theory, discussion, argument	293
397	OU		king	294
600	GYOKU	tama	gem, jewel, sphere	295
870	HOU	takara	treasure	296
1119	KOU, OU		emperor	297
314	GEN	arawa(reru), arawa(su)	present, appear	298
844	SEN		line	299
876	TAN		single, simple	300
333	SEN	ikusa, tataka(u)	fight, battle, war	301
311	SOU	araso(u), araso(i)	quarrel, dispute, contend	302
514	MATSU	sue	end	305
985	MI		not yet	306
688	SHIN	mou(su)	say, be called	309
483	SHIN, JIN	kami, kan, kou	god	310
361	SHITSU	ushina(u)	lose, vanish	311
750	TETSU	kurogane	iron	312
680	KON	ne	root, origin	314
416	FU, FUU	otto	husband	315
962	FU		woman, wife, lady	316
712	SHI	sasa(eru)	branch, support	318
245	RYOU		fee, materials	319
427	KA		department, course	320
993	RYOU	yo(i)	good	321
864	HAN, HON, TAN	so(ru), so(rasu)	anti-, against	324
493	KAN		government	326
494	KAN	kuda	pipe, tube, control	328
541	RI	ki(ku)	advantage, profit	329
738	SHI		history	332
929	NIN	maka(su), maka(seru)	office, entrust	334
634	KEN, GON		authority, power, right	335
599	KYOKU, GOKU	kiwa(meru), kiwa(maru), kiwa(mi)	extreme, pole	336
723	KU		phrase, verse	337
260	SAN	ubu, u(mu)	childbirth, product	340
827	SHIN	hari	needle	341
521	CHOU	shira(beru), totono(u), totono(eru)	investigate, check, prepare	342
388	EN		act, perform, play	344
375	KAI, E		picture	345
570	KYUU		supply	346
861	SON	soko(nau), soko(neru)	loss, damage	350
399	OU		center, middle	351
512	TEI, JOU	sada(meru), sada(maru), sada(ka)	decide, determine	355
562	KETSU	ki(meru), ki(maru)	decide	356
249	EN, ON	too(i)	far, distant	360
656	SAKU		past, yesterday	361
819	DAN		step, rank	362
991	YU, YUU, YUI	yoshi	reason, cause, significance	363
303	YU	abura	oil	364
780	TAI, TSUI		against, pair	365
594	KYOKU	ma(garu), ma(geru)	music, melody, bend, curve	366
1046	TEN		law, code, ceremony	367
1066	KYOU, KOU	oko(ru), oko(su)	interest, entertain, retrieve	368
936	NOU		farming, agriculture	369
1100	KO, KI	onore	self	370
524	KI	shiru(su)	write/note down	371
1036	KI		narrative, history, period	372
374	TOKU	u(ru), e(ru)	gain, profit	374
380	YAKU, EKI		post, service, battle	375
767	SEN	fune, funa	ship, boat	376
597	TO	wata(ru), wata(su)	cross, hand over	378
790	SEKI		seat, place	379
408	OKU		hundred million	382
457	KETSU	ka(ku), ka(keru)	lack	383
735	JI, SHI	tsugi, tsu(gu)	next	384
683	SHOKU		employment, job	385
781	NOU		ability, capacity	386
1077	TAI	waza(to)	condition, appearance	387
435	KA		possible, approve	388
436	KA	kawa	river	389
430	KA	ni	load, cargo	391
511	YO		previously, in advance	393
286	YO	azu(keru), azu(karu)	entrust, deposit	394
466	KEI, GYOU	katachi, kata	form, shape	395
576	HEI	shi(meru), shi(maru), to(jiru), to(zasu)	close, shut	397
495	KAN	seki	concern, barrier	398
837	ZEI		tax	399
366	BI	utsuku(shii)	beauty, beautiful	401
1051	YOU	yashina(u)	rear, foster, develop	402
718	YOU	sama	condition, Mr., Ms.	403
867	DAI		#, rank	404
740	SHI		teacher, army	409
912	DOU	warabe	child	410
816	RYOU	haka(ru)	quantity, measure, weigh	411
284	SHOU	akina(u)	trade, sell	412
308	KA	su(giru), su(gosu), ayama(chi)	pass, exceed, error	413
898	TEKI		fit, suitable	415
1086	TEKI	kataki	enemy, foe, opponent	416
896	TEI	hodo	degree, extent	417
615	SO	kumi, ku(mu)	class, crew, assemble	418
347	YOU	i(ru)	main point, need	419
609	GU		tool, ingredients	420
1062	KA	atai	price, value	421
736	CHOKU, JIKI	nao(su), nao(ru), tada(chi ni)	direct, fix, immediately	423
356	SHOKU	u(eru), u(waru)	plant	424
289	CHI	ne, atai	value, price	425
407	CHI	o(ku)	put, place	426
835	SEI		system, control	427
836	SEI		make, produce, manufacture	428
901	TO		party, vain, useless	430
537	DEN	tsuta(u), tsuta(eru), tsuta(waru)	tell, report, transmit	434
626	GEI		art, skill	435
621	GUN		army, troops	438
692	REN	tsu(reru), tsura(neru), tsura(naru)	group, take, line up	440
449	HEN	kae(su), kae(ru)	return	442
706	HAN	saka	slope, hill	443
564	GYAKU	saka, saka(rau)	reverse, opposite	444
386	EN	sono	garden	447
525	KI, GO		time, period, term	449
1053	KI	moto, motoi	foundation, basis	450
445	KAI		mediate	453
577	SHOU	mane(ku)	summon, invite	455
803	SHOU		introduce	456
254	KEI	karu(i), karo(yaka)	light, insignificant	462
509	SETSU, SECHI	fushi	time, season, paragraph	464
508	KI		season	465
251	KAN	samu(i)	cold	466
317	I		entrust	466
640	KO	mizuumi	lake	467
241	YA	yo, yoru	night, evening	471
381	EKI		liquid, fluid	472
458	KAKU	kado, tsuno	angle, corner, horn	473
443	KAI, GE	to(ku), to(keru), to(kasu)	solve, untie	474
403	OU	oku	interior, depths	476
737	SHI	ha	tooth	478
703	SAI, SEI		year, age	479
1007	REKI		continuation, passage of time	480
603	KIN		prohibit	482
805	SEI, SHOU	matsurigoto	politics, government	483
1074	SHOU	akashi	proof, evidence, certificate	484
573	KETSU	musu(bu), yu(u), yu(wau)	tie, bind, conclude	485
685	SETSU	tsu(gu)	touch, contact, join	486
432	KA	ha(tasu), ha(teru), ha(te)	fruit, end, result	487
434	KA		lesson, section	488
1089	HO	tamo(tsu)	keep, preserve, maintain	489
753	SHU, SU	mamo(ru), mori	protect, defend, obey	490
1013	DAN, TON		group, association	491
412	JI, CHI	osa(meru), osa(maru), nao(ru), nao(su)	govern, rule, cure	493
906	TOU		party, faction	495
807	JOU	tsune, toko	usual, normal, always	497
954	HI		non-, un-, wrong	498
797	SHOU		prize, praise, reward	500
857	SOKU	taba	bundle, sheaf	501
782	SOKU	haya(i), haya(meru), sumi(yaka)	fast, quick	502
1024	SEI	totono(eru), totono(u)	arrange, prepare	503
961	FU		prefecture, government office	504
963	FU		sign, mark, charm	505
632	KEN		ticket, coupon, certificate	506
500	KAN	ma(ku), maki	roll, volume	507
475	SHOU	ka(tsu), masa(ru)	win, excel	509
395	FU	ma(keru), ma(kasu), o(u)	lose, beat, defeat	510
812	HAI	yabu(reru)	lose, defeated	511
946	HOU	hana(su), hana(tsu), hana(reru)	let go, release	512
973	BOU	fuse(gu)	prevent, protect	513
312	KAI	arata(meru), arata(maru)	alter, renew, reform	514
614	HAI	kuba(ru)	distribute, deliver	515
1068	SAN	su(i)	acid, sour	516
707	SHU	sake, saka	sake, alcohol	517
447	GAI		harm, injury, damage	518
477	KATSU	wa(ru), wa(reru), wari, sa(ku)	divide, break, rate	519
480	HITSU	kanara(zu)	surely, invariably	520
1103	KEN		law, constitution	521
916	DOKU		poison	522
550	YUU		mail	524
575	SHIKI		ceremony, style, method	525
367	KI	utsuwa	container, capacity	527
528	KI	hata	opportunity, machine, loom	528
441	KAI		machine	529
633	KEN		inspect, examine	531
630	KEN	kewa(shii)	steep, severe	533
302	KI	abu(nai), aya(ui)	dangerous	534
522	TAN	sagu(ru), saga(su)	search, look for	535
825	SHIN	fuka(i), fuka(meru), fuka(maru)	deep	536
596	RYOKU, ROKU	midori	green	537
1009	ROKU		record	538
290	YO	ata(eru)	give, grant	539
1121	KOU		filial piety	542
394	ROU	o(iru), fu(keru)	grow old	543
763	JAKU, NYAKU	waka(i), mo(shikuwa)	young	544
606	KU	kuru(shii), kuru(shimu), kuru(shimeru), niga(i), niga(ru)	suffer, bitter, painful	545
281	YAKU	kusuri	medicine, drug	546
992	YU		transport	546
587	KEI, KYOU	he(ru)	longitude, pass, elapse	548
702	SAI	su(mu), su(masu)	finish, settle	549
697	SAI		talent, genius	551
538	ZAI		material, talent	552
704	ZAI, SAI		wealth, property	553
352	IN	yo(ru)	cause	554
1060	ON		favor, kindness, gratitude	555
471	NAN	kata(i), muzuka(shii)	difficult, disaster	557
675	KON	koma(ru)	be distressed	558
605	KIN, GON	tsuto(meru), tsuto(maru)	serve, work	559
860	TEI	soko	bottom	562
1071	JOU		article, clause, streak	564
574	KON		marriage	567
565	KYUU		grade, class	568
904	TOU	hito(shii)	equal, class	569
1038	SHI		gentleman, samurai	572
654	SHI		journal, magazine	574
653	ZATSU, ZOU		miscellaneous, mix	575
678	SATSU, SAI, SETSU	koro(su)	kill	576
843	SETSU	mou(keru)	set up, prepare, establish	577
345	MEI,MYOU	inochi	life, order, command	578
934	NEN		thought, desire, attention	579
1105	GEN	minamoto	source, origin	580
516	GAN	nega(u)	wish, desire, request	581
519	FUTSU	hara(u)	pay, sweep away	582
975	BUTSU	hotoke	Buddha, France	583
499	KAN	hi(ru), ho(su)	dry	584
497	KAN		publish	585
510	GAN	kishi	shore, coast	586
446	KAI	mina	all, everyone, everybody	587
440	KAI		stair, floor, story	588
353	U	ha, hane	feather, wing	590
996	YOKU		next, following	592
684	DAN		conversation	593
584	KYOU	hashi	bridge	597
881	CHUU	hashira	pillar, column, pole	598
269	SEI, SHOU	koe, kowa	voice	599
883	CHUU		stop, reside	599
686	SEN	moppa(ra)	entirely, exclusively	600
1050	HAKU, BAKU		extensive, broad	601
549	JU	sazu(keru), sazu(karu)	grant, teach	602
461	KAKU	tashi(ka), tashi(kameru)	certain	603
496	KAN		appearance, view	604
421	KAKU	obo(eru), sa(meru), sa(masu)	remember, learn, awake	605
1110	SHI	mi(ru)	see, look, regard	606
529	KI		rule, standard	607
858	SOKU		rule, law	608
489	SOKU	kawa	side	609
859	SOKU	haka(ru)	measure	610
820	RETSU		line, row	611
874	REI	tato(eru)	example, custom	612
492	KAN		complete, perfect	613
739	JI, SHI	shime(su)	show, indicate	615
1133	SHUU, SOU		religion, sect	616
698	SAI	matsu(ru), matsu(ri)	deify, worship, festival	617
601	SAI	kiwa	edge, occasion	618
717	SATSU		surmise, guess, understand	619
659	REI, RAI		courtesy, gratitude	620
346	KI	ino(ru)	pray	621
845	SO		ancestor	622
691	JO	tasu(keru), tasu(karu)	help, assist, rescue	623
259	SAI	na	vegetable	624
693	SA		investigate	624
1138	SEN		announce, proclaim	625
806	JOU		condition, letter	626
754	SHOU		commander, general	627
1085	TEI	sa(geru)	carry, propose	628
994	YOU		sun, positive	630
818	TOU	yu	hot water, bath	632
1125	SHOU	kizu, ita(mu), ita(meru)	wound, injure, hurt	633
291	ON	atata(ka), atata(kai), atata(meru), atata(maru), nuru(i)	warm, warmth, tepid	634
292	DAN	atata(kai), atata(meru), atata(maru)	warm	635
1015	UN	kumo	cloud	636
616	DON	kumo(ru)	cloudy	637
298	KOU	atsu(i)	thick, kind, cordial	639
459	KAKU, KYAKU		guest, customer	641
419	KAKU	onoono	each, every	642
460	KAKU, KOU		status, rank, case	643
504	GAN	maru, maru(i), maru(meru)	round	644
297	NETSU	atsu(i)	heat, hot, fever	645
330	SEI	ikio(i)	force, energy, vigor, trend	646
998	RIKU		land	647
1082	SEN	zeni	money	648
285	SEN	asa(i)	shallow, superficial	649
728	ZAN	noko(ru), noko(su)	remain, leave	650
725	ZEN, NEN		as, like, so	651
935	NEN	mo(eru), mo(yasu), mo(su)	burn	652
669	KOKU	tani	valley	653
995	YOU		appearance, content	654
839	SEKI	se(meru)	duty, blame, torture	655
838	SEKI	tsu(mu), tsu(moru), tsu(mori)	pile, heap, accumulate	656
598	SA	sa(su)	difference	658
583	SEI, SHOU	kiyo(i), kiyo(maru), kiyo(meru)	pure, clean, clear	660
506	SEI	ha(reru), ha(rasu)	clear, fair	662
572	SEI, JOU	shizu(ka), shizu(maru), shizu(meru)	quite, peaceful	663
938	HA	yabu(ru), yabu(reru)	tear, break	665
924	HA	nami	wave	666
999	RITSU, RICHI		law, regulation, rhythm	667
648	KOU	minato	harbor, port	669
1011	WAN		bay	670
700	SAI	tsuma	wife	671
922	BOU, MOU	na(i)	die, dead	672
937	BOU, MOU	nozo(mu)	hope, desire, expect	673
932	FU		cloth	675
526	KI		hope, rare	676
318	I	koromo	garment, clothes	677
324	I, E		depend on	678
355	SHO	ui, hatsu, haji(me)	first, beginning	679
1072	SHIKI, SHOKU	o(ru)	weave, fabric	680
756	SHIKI		know, discriminate	681
307	HEN	a(mu)	knit, compile	682
647	KOU	saiwa(i), sachi, shiawa(se)	happiness, good fortune	684
976	HOU	muku(iru)	news, report, reward	685
1128	JUKU	u(reru)	ripen, mature	687
655	JI	ya(meru)	word, resign	688
986	RAN	mida(reru), mida(su)	rebellion, disorder	689
670	KOKU	tsu(geru)	tell, inform	690
853	ZOU	tsuku(ru)	make, produce, build	691
392	O	kitana(i), kega(su), yogo(su)	dirty, soiled	693
674	SAI	hoso(i), hoso(ru), koma(ka), koma(kai)	small, slender, fine	695
1041	SHOU	matsu	pine	696
847	SOU		general, total	697
848	SOU	mado	window	698
1035	GYO, RYOU	asa(ru)	fishing	699
409	CHI	oso(i), oku(reru), oku(rasu)	late, slow	702
914	DOU	michibi(ku)	lead, guide	703
786	SON	tatto(i), tatto(bu), touto(i), touto(bu)	respect, precious, honor	704
371	KEI	uyama(u)	respect, revere	705
625	KEI		admonish, warn	706
425	GYO, GO	on	(honorific prefix)	708
431	KA	kuwa(eru), kuwa(waru)	add, join	709
733	SAN	mai(ru)	come, go, visit	710
1088	BEN		dialect, discrimination, petal, valve	711
755	ZOU	ma(su), fu(eru), fu(yasu)	increase, rise	712
919	FU, FUU	tomi, to(mu)	rich, wealth	713
970	FUKU		secondary, duplicate	714
