learned	on'yomi	kun'yomi	meaning	ref_sh_kk
637	GEN	he(ru), he(rasu)	decrease, diminish	715
1057	EKI, YAKU	ma(su)	profit, gain, advantage	716
1145	SEI	makoto	sincerity, truth	718
1141	SEI, SHOU	saka(n), saka(ru), mo(ru)	prosper, flourish, serve	719
809	JOU	shiro	castle	720
1022	KYUU, GUU, KU	miya	shrine, palace	721
343	EI	itona(mu)	manage, conduct	722
377	EI	saka(eru), ha(e), ha(eru)	prosper, glory	723
567	KYUU	moto(meru)	want, request, demand, seek	724
569	KYUU	suku(u)	rescue, save	725
566	KYUU	tama	ball, sphere	726
804	SEI, SHOU	hoshi	star	730
1047	BOKU	maki	pasture	731
631	KEN		matter, affair, case	732
953	BAN		evening, night	736
582	KYO	yuru(su)	permit, pardon	737
930	NIN	mito(meru)	recognize, approve	738
794	SHOU, ZOU		image, elephant	739
854	ZOU		image, picture, statue	740
1094		kabu	share, stock, stump	741
779	ZETSU	ta(eru), ta(yasu), ta(tsu)	cut off, cease	742
571	REN	ne(ru)	knead, train, polish	743
452	TAI	ka(eru), ka(waru)	replace	744
734	SAN		praise, approve	745
732	SAN	soro	calculate	747
815	HI	tsui(yasu), tsui(eru)	spend, waste	749
741	SHI		resources, funds, capital	750
433	KA		freight, goods, money	752
959	HIN, BIN	mazu(shii)	poor	753
270	SETSU, ZEI	to(ku)	explain, theory	756
1063	GA		congratulations	756
413	SHUU	osa(meru), osa(maru)	obtain, collect	757
322	EKI, I	yasa(shii)	divination, easy, simple	759
978	BOU		trade	760
578	RYUU, RU	to(maru), to(meru)	stay, fasten	761
884	CHO		save, store	762
885	CHOU		government office	763
762	SEKI, SHAKU	mukashi	antiquity, long ago	764
729	SAN	chi(ru), chi(rasu), chi(rakaru), chi(rakasu)	scatter, disperse	767
863	BI	sona(eru), sona(waru)	provide, possess	768
771	JUN		order, turn, obey	769
1073	JO	tsui(de)	beginning, preface, order	770
620	KUN		instruct, teach	771
768	JUU, NYUU	yawa(rakai)	soft, tender	774
294	HEN	ata(ri), be	vicinity, neighborhood	775
676		ko(mu), ko(meru)	be crowded, include	776
772	JUN		semi-, quasi-, correspond	778
1139	SEN	so(meru), so(maru), shi(miru), shi(mi)	dye, color, stain	779
398	OU, KOU	ki, ko	yellow	780
400	OU	yoko	beside, side, width	781
695	SAI, SA	futata(bi)	once more, again	782
661	KOU		lecture, club	783
696	ZA	suwa(ru)	sit, seat	786
555	SOTSU		soldier, end	787
862	SOTSU, RITSU	hiki(iru)	rate, proportion, lead	788
629	KETSU	chi	blood	789
1076	SHA		house, hut	791
1129	SHUU, SHU		multitude, populace	792
563	KUN	kimi	you, ruler	793
622	GUN	mu(re), mu(reru)	group, crowd	794
1042	TAI		party, squad, unit	795
628	GEKI		drama, play	797
619	HI	kura(beru)	compare	798
681	KON	ma(zeru), ma(zaru), ma(jiru)	mix, blend	799
385	SEN	era(bu)	choose, select	800
1034	KYO	a(geru), a(garu)	arrest, enumerate	801
556	HOU	tsutsu(mu)	wrap, pack	804
602	KIN		equal, even	805
967	BU	ma(u), mai	dance, flutter	810
987	MU	yume	dream	811
278	BEN, BIN	tayo(ri)	convenience, mail	812
945	BI	hana	nose	813
326	I	chiga(u), chiga(eru)	differ, wrong	814
1056	EI		defend, protect	815
542	KOU	ki(ku)	effect, efficient	816
664	KOU		suburb, outskirts	817
813	KOU, KU		merits, success	818
687	KOU	se(meru)	attack, assault	819
608	KOU, KU	kurenai, beni	crimson, rouge, lipstick	820
1080	GEN, GON	kibi(shii), ogoso(ka)	strict, severe, solemn	822
559	KOU		navigation	823
607	KO, KU		storehouse	825
801	SHOU	toko, yuka	floor, bed	826
1059	OU	kota(eru)	answer, reply, comply	827
821	TOU	su(beru)	govern, link	830
1004	REI		order, command	831
719	REI	tsume(tai), sa(meru), sa(masu), hi(eru), hi(yasu)	cold	832
1006	REI		age	833
1000	RYOU		territory, rule	834
1097	KAKU		tower, palace, cabinet	837
463	GAKU	hitai	amount, forehead	838
415	RAKU	o(chiru), o(tosu)	fall, drop	839
487	RAKU	kara(mu), kara(maru)	entwine	840
276	TEI	hiku(i), hiku(maru), hiku(meru)	low	841
997	RYAKU		abbreviation, omission	841
1039	SHI		administer, direct, rule	842
742	SHI		words	843
535	SHOU	ke(su), ki(eru)	extinguish, go out, disappear	845
823	TAI	shirizo(ku), shirizo(keru)	retreat	846
456	GEN	kagi(ru)	limit	847
1054	GAN, GEN	manako	eye, eyeball	848
933	MIN	nemu(i), nemu(ru)	sleep, sleepy	849
591	KYOU		conditions, situation	850
350	SHUKU, SHUU	iwa(u), iwa(i)	celebrate, congratulate	851
546	KYOU, KEI	kiso(u), se(ru)	compete, vie	852
624	KEI		view, scene	853
1107	KYOU, GOU		hometown, village, country	855
777	SHOU		chapter, badge	857
1126	SHOU	sawa(ru)	hinder, harm, hurt	858
315	CHO	arawa(su), ichijiru(shii)	write, remarkable, conspicuous	859
775	SHO		government office	860
776	SHO		all, many, various	861
391	SHO, CHO	o	beginning, cord, thong	862
588	KYOU, KEI	sakai	boundary	864
748	KAN	wa	ring, surround	865
1143	IN, ON	kaku(su), kaku(reru)	hide, conceal	868
382	SHI	eda	branch	870
540	GI	waza	technique, skill	871
880	CHUU	mushi	insect, bug	873
731	SHOKU	sawa(ru), fu(reru)	touch, feel	874
331	KI	iku	how much/many, some	877
1116	SAKU		plan, means, policy	880
713	SHI	sa(su), sa(saru)	stab, stick	881
404	HAN	oka(su)	commit, violate	882
705	ZAI	tsumi	sin, crime, guilt	885
467	KEI	kata	model, form, type	888
406	HO	ogina(u)	supply, compensate	889
887	HO	to(ru), to(raeru), to(rawareru), tsuka(maru), tsuka(maeru)	catch, arrest	890
784	KEN	suko(yaka)	health, strength	893
785	KOU		peace, ease	894
889	TOTSU	tsu(ku)	thrust, poke	898
1102	KETSU	ana	hole, slit, cave	899
1134	SHA	i(ru)	shoot	900
796	SHA	ayama(ru)	apologize, thank	901
1112	SHI	ita(ru)	arrive, reach, lead to	902
907	TOU		arrive, reach	904
869	TOU	tao(reru), tao(su)	fall, collapse, topple	905
309	GO	ayama(ru)	error, mistake	906
644	GO	taga(i)	mutual, each other	907
1101	KEI		system, lineage	908
454	KEI	kaka(ru), kakari	charge, concern	909
865	SON	mago	grandchild	910
657	HA		group, faction, sect	912
1052	MYAKU		pulse, vein, hope	913
498	KAN	na(reru), na(rasu)	custom, habit	915
972	FUKU		compound, double	916
971	FUKU		return, restore	917
1058	OU		go, travel	918
390	EN	kemuri, kemu(ru), kemu(i)	smoke	919
539	SHOU	ya(ku), ya(keru)	burn, roast, bake	920
1049	HYOU		vote, ballot	922
1048	HYOU		sign, mark	923
923	MEI	na(ku), na(ru), na(rasu)	(animal) sound, ring	925
710		sa(ku)	bloom	927
1069	OU	sakura	cherry tree	928
1113	SHI	sugata	figure, form, shape	929
701	SAI	to(ru)	take on, pick, gather	933
682	SHUU, JU	tsu(ku), tsu(keru)	engage, employ	934
758	CHIN	shizu(mu), shizu(meru)	sink	936
358	FU	u(ku), u(kabu)	float, surface	938
877	NYUU	chichi, chi	milk, breast	939
1001	RYOU		finish, understand	941
360	SHOU	uketamawa(ru)	hear, be told	942
810	JOU	mu(su), mu(reru), mu(rasu)	steam, sultry	943
649	KOU	sourou	season, weather, serve	944
1075	SHUU, SHU	osa(meru), osa(maru)	study, master, discipline	945
424	KOU	o(riru), o(rosu), fu(ru)	fall, come down	947
505	SETSU	yuki	snow	949
830	SHIN	furu(u), furu(eru)	tremble, shake	953
646	NOU	ko(i)	thick, dark, strong	957
1025	TOU, ZU	mame	bean, pea	958
977	HOU	yuta(ka)	rich, abundant	959
900	TOU, TO	nobo(ru)	climb	960
420	TAI	obi, o(biru)	belt, region, wear	963
773	JUN		pure	965
920	DON	nibu(i), nibu(ru)	dull, blunt, sluggish	966
721	MEI	mayo(u)	lose, go astray, vacillate	967
769	JUTSU	no(beru)	state, mention, explain	968
722	WAKU	mado(u)	perplex, tempt	969
329	IKI		region, area	970
470	KO	kata(i), kata(maru), kata(meru)	hard, solid, firm	972
641	KO		individual	973
486	KO	ka(reru), ka(rasu)	wither	974
488	HI	kawa	skin	975
665	HI	koumu(ru), kabu(ru)	suffer, receive	976
481	HI	kare, kano	he, that	977
1144	SHOKU	kaza(ru)	decorate, adorn	979
402	OU	o(su), o(saeru)	push	986
708	SOU	saga(su)	search, look for	989
354	U		heaven, universe	990
882	CHUU		midair, space	991
918		todo(ku), todo(keru)	reach, arrive, deliver	992
800	SHOU	me(su)	summon, eat, drink, wear	995
1023	SHOU		bright, shine, clear	997
795	SHOU	te(ru), te(rasu), te(reru)	shine, illuminate	998
666	CHOU	ko(su), ko(eru)	super, surpass	1000
1016	KYO		big, gigantic	1000
383	ETSU	ko(su), ko(eru)	cross, go over, exceed	1001
288	YUU, YU	aso(bu)	play, be idle	1003
1037	KI	hata	flag, banner	1006
662	KOU	sara, fu(keru), fu(kasu)	anew, grow late	1008
472	KOU	kata(i)	hard, solid, firm	1009
482	KOU	kama(u), kama(eru)	structure, posture, mind	1010
300	BOU, BAKU	aba(ku), aba(reru)	violent, rage, disclose, expose	1014
941	BAKU		explode	1015
829	GEKI	hage(shii)	violent, fierce, intense	1017
365	DA	u(tsu)	hit, strike	1020
788	TOU	na(geru)	throw, abandon	1021
401	OU		Europe	1022
673	DAN	kotowa(ru), ta(tsu)	judgment, decline, cut off	1024
950	HAN, BAN		judge, stamp, seal	1026
1092	HYOU		comment, criticism	1028
966	BU, MU		military	1031
832	YUU	sugu(reru), yasa(shii)	kind, gentle, excel	1033
479	HI	kana(shii), kana(shimu)	sad, lament	1034
792	HAI		fellow, colleague	1037
1083	TOKU		virtue, benevolence	1038
714	SHI	yubi, sa(su)	finger, point	1041
304	SHI	abura	fat	1042
351	IN	shirushi	seal, stamp, sign, mark	1043
716	SATSU	su(ru)	print	1044
468	HEN	kata	one side, fragment	1045
951	HAN		printing, edition	1046
338	HAN, BAN	ita	board, plank	1047
952	HAN		sell	1048
1061	KA, KE	kari	temporary, provisional, interim	1049
325	I	era(i)	great, eminent	1053
627	GEI	muka(eru)	meet, welcome, invite	1055
875	RAN	tamago	egg	1058
306	YO	ama(ru), ama(su)	remainder, excess	1063
747	JO, JI	nozo(ku)	remove, exclude	1065
902	TO		way, road	1072
903	TO	nu(ru)	coat, paint	1073
462	KAKU	kawa	reform, leather	1075
438	KA	kutsu	shoes	1076
533	SHIN	ne(ru), ne(kasu)	go to bed, sleep	1079
851	SOU	ha(ku)	sweep	1080
822	JOU	tatami, tata(mu)	tatami, fold	1087
1106	KIN	suji	muscle, fiber, logic, plot	1090
942	SOU	hako	box	1091
1014	SHUU	fune, funa	ship, boat	1094
791	HAN		general, kind	1096
720		sara	plate, dish	1097
909	TOU	nusu(mu)	steal	1100
387	EN	shio	salt	1101
981	BOU		hat, cap	1105
1084	CHOU	ha(ru)	stretch, spread	1106
1026	CHOU		notebook	1107
828	SHIN	no(biru), no(basu)	stretch, lengthen, extend	1108
1127	SHUKU	chiji(mu), chiji(meru), chiji(maru), chiji(reru), chiji(rasu)	shrink, shorten	1110
894	TEI	niwa	garden	1112
1096	KAKU	hiro(geru)	expand, extend, enlarge	1113
389	EN	no(biru), no(beru), no(basu)	postpone, prolong	1115
658	TAN		birth	1116
840	SEKI		achievements	1117
1120	KOU	kisaki	empress, queen	1119
323	I	utsu(ru), utsu(su)	move, transfer, infect	1121
1115	SAI	saba(ku), ta(tsu)	judge, cut out	1123
660	YOKU	hos(suru), ho(shii)	greed, desire, want	1127
301	YOKU	a(biru), a(biseru)	bathe	1128
899	DEN, TEN	tono, dono	palace, lord	1130
774	SHO		deal with, manage, condemn	1137
1140	ZEN	yo(i)	good, virtue	1139
561	KITSU	tsu(mu), tsu(meru), tsu(maru)	cram, shorten	1142
1132	JU		tree	1144
484	HATSU	kami	hair	1148
694	SA, SHA	suna	sand	1151
958	BYOU		second	1152
709	HAI	sakazuki	sake cup	1155
983	MAI		(counter for thin, flat objects)	1156
715	SATSU	fuda	paper money, card, label	1157
711	SATSU, SAKU		book, volume	1158
960	BIN		bottle, jar	1161
1003	RIN	wa	wheel, ring, circle	1164
925	HEI	nami, nara(bu), nara(beru), nara(bi ni)	line up, arrange, average	1165
964	FU		general, universal	1166
759	SHITSU	shime(ru), shime(su)	dampen, moisten	1169
1108	KI	tatto(i), tatto(bu), touto(i), touto(bu)	value, precious, esteem	1171
1093	I, YUI		bequeath, leave behind	1172
396	TSUI	o(u)	chase, pursue	1174
520	HAKU	to(maru), to(meru)	lodge, stay	1177
417	HOU	tazu(neru), otozu(reru)	visit	1181
895	TEI		stop, halt	1185
635	KEN	noki	eaves	1187
287	KAN	ase	sweat, perspiration	1188
1055	KAN	miki	trunk, main	1189
490	KAN	kawa(ku), kawa(kasu)	dry, parch	1190
989	MEN	wata	cotton	1191
336	SEN	izumi	spring, fountain	1192
319	I	kako(mu), kako(u)	surround, enclose, besiege	1194
650	KOU	tagaya(su)	till, plow, cultivate	1196
842	SEKI		register, membership	1198
405	HAI	oga(mu)	worship, pray	1201
507	RYOU	suzu(shii), suzu(mu)	cool, refreshing	1204
668	TOU	koo(ru), kogo(eru)	freeze	1205
667	HYOU	koori, hi	ice	1206
378	EI	naga(i)	long time, eternal	1207
579	KYUU, KU	hisa(shii)	long time	1210
886	CHIN	mezura(shii)	rare	1215
580	KYUU		old, former	1216
745	JI, NI		child, infant	1217
879	CHIKU		livestock	1223
1123	SUI	o(su)	infer, suppose, recommend	1233
384	SHOU	wara(u), e(mu)	laugh, smile	1235
568	KYUU	na(ku)	cry	1236
990	REI	modo(ru), modo(su)	return, restore	1238
926	RUI	namida	tears	1239
560	KITSU		eat, drink, smoke	1240
1065	KETSU	isagiyo(i)	clean, pure, righteous	1241
328	SOKU	iki	breath	1242
344	HI	ina	no	1248
523	GAN	fuku(mu), fuku(meru)	contain, include, hold	1249
590	KYOU	sake(bu)	shout, cry out	1252
642	KO	yo(bu)	call, invite	1254
831	SUI	fu(ku)	blow	1255
581	KYUU	su(u)	inhale, suck, smoke	1256
1081	ZETSU	shita	tongue	1259
1104	KEN	kinu	silk	1261
663	KOU		assent, consent	1262
469	KEN	kata	shoulder	1264
834	HAI	se, sei, somu(ku), somu(keru)	back, height	1265
672	KOTSU	hone	bone	1266
321	I		stomach	1268
965	FU		skin	1269
1045	CHOU	harawata	intestines, entrails	1270
949	FUKU	hara	belly, stomach, mind	1271
478	TAN	katsu(gu), nina(u)	bear, shoulder, trick	1274
927	NOU	naya(mu), naya(masu)	suffer, worry	1279
589	KYOU	mune, muna	breast, chest	1283
340	HOU	da(ku), ida(ku), kaka(eru)	hug, hold, embrace	1285
617	ZOU	kura	warehouse, storehouse	1286
855	ZOU		viscera	1287
464	KEN	kashiko(i)	wise, intelligent	1288
473	KEN	kata(i)	hard, solid, firm	1289
671	YOU	koshi	loins, hips	1298
368	WAN	ude	arm, talent, ability	1299
1099	GA	ware, wa	I, self, ego	1302
531	KI	tsukue	desk	1305
944		hada	skin, temperament	1306
1044	SOU	kura	warehouse, storehouse	1307
1136	SOU	tsuku(ru)	create	1308
841	SEKI		one (of a pair), (counter for boats)	1311
1070	GO	mamo(ru)	defend, protect	1312
503	KAN	wazura(u)	illness, suffer	1315
1095	KAN		see, watch over	1316
339	TSUU	ita(i), ita(mu), ita(meru)	pain	1320
888	HI	tsuka(reru), tsuka(rasu)	tire, fatigue	1321
1002	RYOU		treat, cure	1322
799	SOU, SHOU	yosoo(u)	dress, pretend	1328
817	TAI	fukuro	bag, sack	1329
905	TOU	hi	lamp, light	1333
751	SAI	wazawa(i)	misfortune, disaster	1335
296	ATSU		pressure	1342
444	KAI	hai	ashes	1343
833	TAN	sumi	coal	1344
349	GAN	iwa	rock, crag	1345
730	CHUU	naka	relationship	1347
592	KYOU	sema(i), seba(maru), seba(meru)	narrow, small	1353
593	KYOU	hasa(mu), hasa(maru)	put between, insert	1354
530	KI	yo(ru), yo(seru)	approach, meet, gather	1361
410	ZOU, SOU	oku(ru)	give, present	1364
856	ZOU	niku(mu), niku(i), niku(rashii), niku(shimi)	hate	1365
849	SOU		layer, stratum	1367
379	EI	surudo(i)	sharp	1371
337	BOU	isoga(shii)	busy	1373
554	BOU	wasu(reru)	forget	1374
310	KOU	ara(i), a(reru), a(rasu)	rough, wild, violent	1377
969	FUKU		fortune, blessing	1379
947	FUKU	haba	width, breadth	1380
334	YUU	isa(mu)	brave	1386
915	YOU	to(ku), to(keru), to(kasu)	melt, dissolve	1392
423	SETSU	o(ru), o(reru), ori	break, fold, bend	1394
442	KAI	kokoroyo(i)	pleasant	1409
618	BO	ku(reru), ku(rasu)	grow dark, live	1428
1087	BO	haka	grave, tomb	1429
892	BO	tsuno(ru)	raise, invite	1430
341	CHOU	itadaki, itada(ku)	summit, top, receive	1440
474	KEI	katamu(ku), katamu(keru)	lean, incline	1441
727	SHA	su(teru)	throw away, abandon	1444
726	SHUU, JUU	hiro(u)	pick up, find, gather	1445
757	TEKI	shizuku, shitata(ru)	drop, trickle	1446
362	HAKU	usu(i), usu(maru), usu(meru)	thin, weak, light	1449
1031	GA	me	bud, sprout, germ	1455
968	FUU, HOU		seal	1463
455		ka(keru), ka(karu), kakari	hang, spend, multiply	1464
652	BYOU	neko	cat	1469
1027	TEKI	fue	flute, whistle	1471
910	TOU	tsutsu	pipe, tube	1472
1032	KEI		path, diameter	1475
1130	JUU, JU, SHOU	shitaga(u), shitaga(eru)	accompany, follow, obey	1482
1131	JUU	tate	height, length, vertical	1483
746	JI	ni(ru)	resemble, similar	1486
485	SHIN	kara(i)	hot, spicy, hard	1487
305	KAN	ama(i), ama(eru), ama(yakasu)	sweet, indulgent	1492
536	RAI	tano(mu), tano(moshii), tayo(ru)	request, ask, rely	1512
363	GI	utaga(u)	doubt, suspect	1516
982	MA	miga(ku)	polish, brush	1531
501	KAN		simple	1533
437	KA		confectionery, cake	1535
1043	SOU	su	nest, hive, den, cobweb	1538
979	BOU		stick, pole, rod	1543
1137	SOU	kana(deru)	play (music)	1544
1111	JI		magnet, porcelain	1548
643	KO	yato(u)	employ, hire	1553
418	YOU	odo(ru), odo(ri)	dance	1558
872	TAKU		wash, rinse	1561
543	CHOU	kiza(shi), kiza(su)	sign, symptom, trillion	1562
908	TOU	ni(geru), ni(gasu), noga(su), noga(reru)	escape, flee	1566
299	SEKI	ato	mark, trace, remains	1569
453	KAN	ka(eru), ka(waru)	exchange, replace	1586
850	SOU	futa	pair, both	1594
890	DO	tsuto(meru)	exert, strive	1595
327	DO	ika(ru), oko(ru)	anger	1596
414	KYOU	oso(reru), oso(roshii)	fear, terrible, awful	1602
545	CHIKU	kizu(ku)	build, construct, erect	1603
651	KOU		ore, mine	1604
913	DOU		copper	1605
1098	EN	so(u)	lie along, run parallel	1607
1117	KOU	hagane	steel	1608
1124	JIN, NI		virtue, benevolence, charity	1619
897	DEI	doro	mud	1621
610	GUU		couple, even, accidental	1639
611	GUU	sumi	corner, nook	1640
1040	SHOU	tona(eru)	chant, recite, advocate	1646
502	KAN		can	1649
1109	KI		shake, brandish	1652
852	SOU		dry up, parch	1656
426	KOU, KYOU	ka, kao(ri), kao(ru)	fragrance, aroma	1684
878	CHI	haji, ha(jiru), ha(jirau), ha(zukashii)	shame, disgrace, shy	1690
893	RYUU	tsubu	grain	1700
638	FUN	ko, kona	flour, powder	1701
373	SEN	shi(meru), urana(u), urana(i)	occupy, divine	1706
931	BATSU	nu(ku), nu(keru), nu(karu), nu(kasu)	pull out, omit, surpass	1713
1090	HI	koe, ko(eru), ko(yasu), ko(yashi)	fertile, manure	1723
1118	KOKU		grain, cereals	1729
988		musume	daughter, girl	1752
357	SHI	ukaga(u)	ask, visit, hear	1761
1067	SHI	ka(u)	raise, keep, feed	1762
802	SHOU	nobo(ru)	rise, promote	1777
789	KYOU	odoro(ku), odoro(kasu)	surprise, amaze	1778
928	NAN	yawa(raka), yawa(rakai)	soft	1788
974	FUTSU	wa(ku), wa(kasu)	boil, seethe	1792
613	KUTSU	ho(ru)	dig	1803
679	FU	kowa(i)	frightening, dreadful	1814
1005	REI		zero	1823
370	MAI	u(maru), u(meru)	bury, fill up	1826
911	TOU		tower	1840
980	BOU, BOtsu		boy, priest	1858
1114	SAN	kaiko	silkworm	1877
1091	HYOU	tawara	bag, sack, bale	1890
1135	SHAKU		length, measure	1895
16	YUU	tomo	friend
40	KA	nani, nan	what
67	KI, KE		spirit, mind, energy, power
71	WA	hana(shi), hana(su)	talk, topic, story	238
73	SHOKU, JIKI	ta(beru), ku(u), ku(rau)	eat, food
74	TOKU, DOKU	yo(mu)	read	244
85	SHUU	aki	autumn, fall
87	KAI	a(ku), a(keru), hira(ku)	open
88	AKU	waru(i)	bad, evil
89	CHOU	asa	morning
92	MI	aji(wau)	taste
94	SHUU	atsu(maru), atsu(meru)	collect, gather
95	KEI, KYOU	ani	older brother
96	HO, BU	aru(ku), ayu(mu)	walk, step
97	SHI	ane	older sister
98	YUU, U	a(ru)	have, exist
100	I		medicine, doctor	220
104	KYUU	iso(gu)	hurry
106	KEN	inu	dog
107	MAI	imouto	younger sister
109	ON, IN	oto, ne	sound
111	IN		institution
112	IN	no(mu)	drink
113	GYO	uo, sakana	fish
114	DOU	ugo(ku), ugo(kasu)	move	231
115	GYUU	ushi	cattle
116	KA	uta, uta(u)	song, sing
117	SHA	utsu(su), utsu(ru)	copy
118	EI	utsu(ru), utsu(su), ha(eru)	reflect, project
120	BAI	u(ru)	sell	239
121	UN	hako(bu)	carry, luck
122	JUU, CHOU	e, omo(i), kasa(naru), kasa(neru)	heavy	227
123	EI		England, grand
124	EKI		station
125	SHUU	o(waru), o(eru)	finish
126	TA	oo(i)	many	229
127	KI	o(kiru), o(koru), o(kosu)	get up, rise
129	SOU	oku(ru)	send
130	KYOU	oshi(eru), oso(waru)	teach	245
131	TEI, DAI	otouto	younger brother
136	KA	hana	flower
137	KA	natsu	summer
138	GA, KAKU		picture, drawing
139	KAI		world
140	BAI	ka(u)	buy	241
141	KI	kae(ru), kae(su)	return
142	DAI, TAI	ka(eru), ka(waru), shiro, yo	substitute, price
143	GAKU, RAKU	tano(shii), tano(shimu)	pleasure, music
145	TAI	ka(su)	lend
150	SHAKU	ka(riru)	borrow, rent
151	KAN		Chinese
152	KAN	yakata	building, palace
154	KOU	kanga(eru)	think, consider
155	CHAKU	ki(ru), ki(seru), tsu(ku), tsu(keru)	wear, arrive
156	KYUU	kiwa(meru)	study, research
157	KYO, KO	sa(ru)	leave, go away
160	GYOU, GOU	waza	work, industry
162	KIN	chika(i)	near, recent
163	GIN		silver
167	KEI	haka(ru), haka(rau)	plan, measure
168	KEN	to(gu)	grind, research
169	KEN	ta(tsu), ta(teru)	build
170	KEN		test
172	KOU	hiro(i), hiro(maru), hiro(meru), hiro(garu), hiro(geru)	wide, broad
174	SHI	tame(su), kokoro(miru)	try, test
177	TEN	koro(garu), koro(geru), koro(gasu), koro(bu)	turn
178	SAKU, SA	tsuku(ru)	make, work
179	CHA, SA		tea
180	SOU	haya(i), haya(maru), haya(meru)	early, fast	248
181	SHI	to(maru), to(meru)	stop
183	SHI	tsuka(eru)	serve, attend
185	SHI	haji(maru), haji(meru)	begin
186	SHI	tsuka(u)	use
189	JI	mo(tsu)	have, hold
192	HIN	shina	article, quality	230
193	SHA	yashiro	company, shrine
197	SHUU	nara(u)	learn
199	SHUN	haru	spring (season)
200	SEI, SHOU	tada(shii), tada(su), masa	right, correct
204	SHIN	ma	true, reality
205	ZU, TO	haka(ru)	drawing, plan
206	SEI, SE	yo	world, era
208	SOU	hashi(ru)	run
209	ZOKU		family, tribe	221
210	CHUU	soso(gu)	note, pour
212	DAI, TAI		stand, pedestal
213	TAI	ma(tsu)	wait
214	DAI		topic, title
215	TO, DO, TAKU	tabi	time, degree
217	RYO	tabi	travel, trip	222
219	CHUU	hiru	daytime, noon
221	CHOU	tori	bird
224	TOU	fuyu	winter
226	DOU		hall, temple
227	TOKU		special
228	NIKU		meat, flesh	223
231	HAN	meshi	cooked rice, meal
232	BYOU, HEI	ya(mu), yamai	illness
234	FUKU		clothes, submit
237	BETSU	waka(reru)	separate, another
238	BEN		effort, endeavor
243	YOU		ocean, Western
252	GAN	kao	face
266	JOU	no(ru), no(seru)	get on, ride
268	SHIN	susu(mu), susu(meru)	advance, progress
273	TAI, TA	futo(i), futo(ru)	big, fat, thick
376	EI	oyo(gu)	swim
411	YOU	osana(i)	very young, childish (12ura29)
515	TATSU, DACHI	tachi	reach, gain, achieve
527	KI	yoroko(bu)	joy, delight
544	KOKU	kiza(mu)	cut, chop, engrave
749	HI	to(bu), to(basu)	fly
826	SHIN, JIN		subject, retainer
955	HITSU	hiki	equal, comparable, (counter for small animals)
957	HEI, HYOU		soldier
1078	ZOKU		genus, belong
1122	SUI	dare	who, someone (--)
1142	SEI		holy, sacred, sage
